Film      Dose(Gy)  FWHM X(mm)    FWHM Y(mm)    
L001      9.13      12.72         12.67         
L002      7.91      13.75         13.80         
L003      9.16      12.60         12.69         
L004      7.87      13.54         13.54         
L005      9.17      12.74         12.72         
L006      7.96      13.78         13.80         
L007      10.33     12.65         12.57         
L008      9.06      13.73         13.73         
L009      10.50     12.86         12.74         
L010      9.18      13.78         13.71         
L011      10.46     12.81         12.72         
L012      9.24      13.94         13.89         
L013      8.17      13.56         13.45         
L014      7.14      14.25         14.27         
L015      7.72      13.33         13.26         
L016      6.83      14.32         14.27         
L017      7.65      13.38         13.21         
L018      6.88      14.27         14.18         
L019      10.13     13.40         13.35         
L020      8.73      14.25         14.27         
L021      9.67      13.35         13.35         
L022      8.36      14.22         14.27         
L023      9.58      13.47         13.38         
L024      8.57      14.53         14.53         
L025      10.64     13.02         12.95         
L026      8.67      13.47         13.35         
L027      9.97      13.45         13.49         
L028      8.04      13.94         13.66         
L029      0.13      0.00          0.00          
L030      0.11      0.00          0.00          
L031      0.18      0.00          0.00          
L032      0.23      0.00          0.00          
