Film      Dose(Gy)  FWHM X(mm)    FWHM Y(mm)    
M001      9.53      8.64          9.04          
M002      10.22     8.71          9.33          
M003      11.44     8.83          9.30          
M004      11.76     8.85          9.33          
M005      10.44     9.00          9.21          
M006      11.05     9.02          9.28          
M007      12.21     8.92          9.02          
M008      12.19     8.85          8.95          
M009      11.93     9.00          8.85          
M010      12.54     8.92          9.04          
M011      11.44     8.95          9.07          
M012      11.95     8.74          9.21          
M013      11.73     8.38          10.10         
M014      12.07     8.90          9.68          
M015      11.93     8.85          9.96          
M016      12.38     8.62          10.06         
M017      11.90     8.24          10.08         
M018      12.29     9.09          10.10         
M019      13.49     8.60          9.84          
M020      14.03     8.92          10.06         
M021      13.37     8.36          9.96          
M022      13.38     8.55          9.98          
M023      13.15     9.87          9.70          
M024      13.69     9.23          10.20         
M025      12.02     9.11          9.25          
M026      13.27     9.02          8.48          
M027      13.65     8.52          10.10         
M028      13.71     9.61          8.97          
M029      0.18      0.00          0.00          
M030      0.16      0.00          0.00          
M031      0.25      0.00          0.00          
M032      0.28      0.00          0.00          
