Film 	 Intensity
P001	100.59003571428572
P002	100.49366666666667
P003	102.95517857142858
P004	102.84369047619047
P005	107.75788095238096
P006	108.07380952380953
P007	117.96220238095238
P008	118.32219047619047
P009	132.83483333333334
P010	132.4410119047619
P011	152.41804761904763
P012	152.78408333333334
P013	166.3927619047619
P014	166.59134523809524
P015	175.84345238095239
P016	175.88684523809525
P017	188.0785119047619
P018	188.1520119047619
P019	198.5552619047619
P020	198.38953571428573
P021	210.52167857142857
P022	210.89770238095238
P023	218.82257142857142
P024	219.01041666666666
P025	97.35085714285714
P026	97.18016666666666
