Film 	 Intensity
P001	103.39433333333334
P002	103.24957142857143
P003	105.9107380952381
P004	105.8180119047619
P005	110.85717857142858
P006	111.18991666666666
P007	121.26915476190476
P008	121.56575
P009	135.82010714285715
P010	135.4399642857143
P011	154.3392142857143
P012	154.57414285714285
P013	166.70663095238095
P014	166.84203571428571
P015	175.6742142857143
P016	175.73138095238096
P017	186.60013095238097
P018	186.52395238095238
P019	195.90436904761904
P020	195.7037023809524
P021	206.74958333333333
P022	207.20089285714286
P023	214.57089285714287
P024	214.7437380952381
P025	99.58616666666667
P026	99.28835714285714
